date,gdp,gdp_rate,year,close,trade_times,trade_money
1998Q1,18049.1,0.08149031403730579,1998.0,1212.7777307692304,415018273.07692313,4453512403.846154
1998Q2,20296.6,0.059122503078753476,1998.0,1353.3132031250002,865018628.125,7784020828.125
1998Q3,21775.6,0.06217775804964645,1998.0,1242.3771969696968,572018507.5757576,4449455772.727273
1998Q4,25074.2,0.07331292939237638,1998.0,1227.214984375,485262826.5625,4308763125.0
1999Q1,19361.9,0.07273492861139907,1999.0,1141.7683199999994,513804548.0,3505024320.0
1999Q2,21567.7,0.06262625267286158,1999.0,1261.451578125,1609217198.4375,12101323421.875
1999Q3,23050.8,0.05856095813663002,1999.0,1600.9238636363634,1160737896.969697,9915612166.666666
1999Q4,26583.9,0.06020929880115819,1999.0,1452.537949152543,568866332.2033899,3811785050.847458
2000Q1,21329.9,0.10164291727568056,2000.0,1617.8395925925927,2089985938.8888886,19231933685.185184
2000Q2,24043.4,0.11478739040324193,2000.0,1852.8084833333328,1364979303.3333333,13732028350.0
2000Q3,25712.5,0.11547104655803707,2000.0,1995.1461538461526,977324587.6923076,11584795446.153849
2000Q4,29194.3,0.09819477202366836,2000.0,2026.346433333333,1056999228.3333334,10459457950.0
2001Q1,24086.4,0.12923173573246946,2001.0,2023.1241481481475,1220225514.8148148,10731595370.37037
2001Q2,26726.6,0.11159819326717506,2001.0,2177.80065,1741440188.3333333,15413756745.766666
2001Q3,28333.3,0.10192707826932423,2001.0,1958.7727076923081,628829401.7692307,7032806639.338462
2001Q4,31716.8,0.08640385280688354,2001.0,1676.0658852459014,579995913.1147541,6355747427.868854
2002Q1,26295.0,0.09169489836588277,2002.0,1544.7183333333335,984452678.4313724,9489172582.980392
2002Q2,29194.8,0.09234994350197934,2002.0,1594.2050999999994,880854926.6666666,8708921008.43333
2002Q3,31257.3,0.10320012141190754,2002.0,1660.3960923076932,598939973.8461539,6049024017.338462
2002Q4,34970.3,0.10257970539272572,2002.0,1460.2474098360653,592853422.9508197,4859655610.196721
2003Q1,29825.5,0.13426506940482982,2003.0,1468.3140357142856,954788680.3571428,7553842559.946428
2003Q2,32537.3,0.1144895666351542,2003.0,1545.6311551724139,1521071986.2068965,12341319949.5
2003Q3,35291.9,0.12907704760168032,2003.0,1455.4908787878785,664862822.7272727,5404169419.681818
2003Q4,39767.4,0.13717640397708908,2003.0,1406.4260163934428,1369371195.0819669,9592448374.67213
2004Q1,34544.6,0.15822366766692925,2004.0,1671.1855535714292,2287126839.285714,18707302101.892857
2004Q2,38700.8,0.18942874792929973,2004.0,1572.1309333333338,1236977420.0,10112272196.383331
2004Q3,41855.0,0.18596618487528294,2004.0,1383.7366363636359,1213236554.5454545,7728813297.590909
2004Q4,46739.8,0.1753295412825581,2004.0,1329.3786721311474,1283310563.9344265,7900639192.393442
2005Q1,40453.3,0.1710455469161607,2005.0,1251.7461785714281,1306472716.0714285,7371561623.267858
